"For: Sri Lanka"

"Date Of Sale",Store,"Country Of Sale",Label,"Release Title","Release Artist","Track Title","Track Artist(s)",Barcode,"Catalogue Number",ISRC,Quantity
25/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
29/04/2025,Spotify,"Sri Lanka","Sound Factor / MGD Music Entertainment","Tumi Asa Babei","Deeplina Deka & Dipankar Das","Tumi Asa Babei","Deeplina Deka & Dipankar Das",3614768143319,,GB-LLT-25-07346,0
23/04/2025,Spotify,"Sri Lanka","Sound Factor / MGD Music Entertainment","Tumi Asa Babei","Deeplina Deka & Dipankar Das","Tumi Asa Babei","Deeplina Deka & Dipankar Das",3614768143319,,GB-LLT-25-07346,0
24/04/2025,Spotify,"Sri Lanka","Sound Factor / MGD Music Entertainment","Tumi Asa Babei","Deeplina Deka & Dipankar Das","Tumi Asa Babei","Deeplina Deka & Dipankar Das",3614768143319,,GB-LLT-25-07346,0
24/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
17/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
29/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
11/04/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
22/04/2025,Spotify,"Sri Lanka","Sound Factor / MGD Music Entertainment","Tumi Asa Babei","Deeplina Deka & Dipankar Das","Tumi Asa Babei","Deeplina Deka & Dipankar Das",3614768143319,,GB-LLT-25-07346,0
15/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,2
29/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,1
16/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
28/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,18
30/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,0
31/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,3
27/03/2025,Spotify,"Sri Lanka","Sound Factor (MGD Music LLP)","Moi Kun","Zubeen Garg","Moi Kun","Zubeen Garg",3614034459374,12,IN-R2P-25-00192,7
